,Pekerjaan,Skill
1,Programmer,"Coding skills, Problem solving, Kolaborasi, Komunikasi, Adaptabilitas Teknologi, Pembelajaran Berkelanjutan"
2,Web Designer ,"Dasar-dasar desain, HTML, CSS, JavaScript"
3,Guru/Pendidik/Konselor/Mentor,"Penguasaan Materi, Keterampilan Pedagogik, Adaptif, Kemampuan Komunikasi, Public Speaking, Refleksi, Pengembangan Diri, Pengajaran, Perencanaan Pelajaran, Evaluasi Murid, Pendidikan Anak Usia Dini, Teknologi Pembelajaran, Manajemen Kelas"
4,Insinyur Arsitektur,"Teamwork,  Pengelolaan Proyek, Teknik Arsitektur, Desain Struktural, Pemodelan 3D (Tiga Dimensi) , Keterampilan Presentasi, Manajemen Proyek, Pengetahuan Kode Bangunan"
5,Nelayan,"Teknik menangkap ikan, Keterampilan Mekanik Kapal, Manajemen waktu"
6,Perawat,"Pola Keperawatan, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Asuhan Pasien, Pengelolaan Stres, Keterampilan Klinis, Penyuluhan Kesehatan, Kolaborasi Tim"
7,Dokter,"Leadership,  Empati, Manajemen Stres , Etos kerja, Ilmu Biomedik , Keterampilan Klinis, Komunikasi Pasien, Penyuluhan Kesehatan, Diagnosis Penyakit, Manajemen Pasien, Keterampilan Bedah"
8,Bidan,"Ilmu Humaniora, Perawatan Prenatal , Ilmu Kehamilan, Ilmu Persalinan, Kemampuan Komunikasi"
9,Pemadam Kebakaran,"Ilmu Geologis, Teamwork, Manajemen Waktu, Evakuasi, K3 (Keselamatan dan Kesehatan Kerja), Pencegahan, Penanggulangan "
10,Kondektur,"Customer Service, Kemampuan Komunikasi, Bahasa Asing, Pengetahuan Keselamatan Penumpang, Ilmu Transportasi, Ilmu Geografi, Studi Pariwisata"
11,Pilot,"Teknik Penerbangan, Keselamatan Penerbangan, Manajemen waktu penerbangan, Problem Solving, Multi-tasking"
12,Masinis,"Ilmu mesin, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan Komunikasi, Konsentrasi, Ilmu Teknik"
13,Wartawan,"Teknik Jurnalistik, Kemampuan Komunikasi, Manajemen waktu, Editor Gambar Video, Investigasi, Story telling "
14,Insinyur Mesin,"Software, Dasar ilmu komputer, Teamwork, Kemampuan Komunikasi, Desain Sirkuit,Pengukuran dan Kontrol, Elektronika Daya, Pemrograman Mikrokontroler, Teknik Daya"
15,Ahli Gizi,"HACCP ( Hazrad Analysis Contol Point), Critical Control Point, Critical Thinking, Organizational Skill, Instructional Skill, Food technology, Ilmu gizi, Dietetika, Ketangguhan, Kemampuan komunikasi, Bahasa Asing"
16,Pustakawan,"Analisis data, Kemampuan Komunikasi, Analisis Informasi, Literasi Digital, IT (Teknologi Informasi), Customer Service"
17,Hakim,"Ilmu Hukum, Critical Thinking, Public Speaking, Kemampuan Analisa, Kemampuan Komunikasi, Good Governance, Active Listening "
18,Notaris,"Ilmu Hukum, Prosedur Notaris, Keterampilan Negosiasi, Kemampuan Komunikasi, Administrasi, Literasi"
19,Teller Bank,"Kemampuan Komunikasi, Mengoperasikan Teknologi, Numerik, Manajemen Krisis, Customer Service, Multitasking, Problem Solving, Teamwork, Manajemen Proyek "
20,Penerjemah,"Berbahasa Asing, Pengetahuan Budaya, Kemampuan Komunikasi, Public Speaking, Mengoperasikan Komputer, Manajemen waktu, Fleksibilitas, Kreatif, Berpikir Cepat, Literasi "
21,Tentara,"Kepemimpinan, Taktis Strategis, Bela Diri, Kemampuan Fisik, Keterampilan Senjata, Taktik Tempur, Keterampilan Komunikasi, Teamwork, Medis Darurat Dasar, Teknologi Militer, Keterampilan Adaptasi "
22,Tukang Cukur,"Pemangkasan, Penataan, Teknik Mencukur, Metode Perawatan, Manajemen Waktu, Kemampuan Komunikasi, Kreativitas"
23,Petani,"Ilmu Pertanian, Ilmu Agroteknologi, Kemampuan Budidaya Pertanian, Jenis Penyakit Tumbuhan, Ilmu Mikrobiologi Pertanian, Agribisnis, Biologi, Kemampuan Komunikasi, Critical thinking, Administratif, Keterampilan Adaptif, Strategi Pemasaran"
24,Akuntan,"Analisis Data, Analisis Statistik, Kemampuan Teknis, Kemampuan menulis, kemampuan Komunikasi, Manajemen Waktu, Manajemen Bisnis, Manajemen Regulasi, Problem Solving, Critical Thinking, Teamwork, Akuntansi Dasar, Excel, Pelaporan Keuangan, Audit, Pajak, Analisis Keuangan, Industri Layanan, Kepemimpinan, Kemampuan Pembinaan, Faktur Penggajian, Logika Matematika "
25,Desainer,"Kemampuan Menggambar, Software Desain, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Branding, Resolusi Konflik, Literasi, Desain UX, Skill Ideation, Metode Riset"
26,Satpam,"Ilmu Tongkat T, TURJAWALI (Pengaturan, Penjagaan, Pengawalan dan Patroli) , Jenis Bahan Peledak, Jenis Narkoba, Kemampuan Beladiri, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan HT ( Handy Talkie) , TP-TKP (Tindakan Pertama), Kemampuan Komunikasi"
27,Peternak,"Ilmu Dasar Peternakan, Kemampuan Komunikasi, Critical Thinking, Literasi, Problem Solving, Ilmu Pengembangan Iptek, Teknik Pengelolaan Usaha, Produk Ternak "
28,Peneliti,"Keterampilan Meneliti, Keterampilan Pelaporan, Keterampilan Analisis Data, Ilmu Komputer, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Penelusuran Kepustakaan, Data Engineering, Riset, Kepemimpinan "
29,Nahkoda,"Ilmu Geografis, Navigasi, Peta Laut, Teknis Kapal, Pemahaman Cuaca, K3 (Keselamatan dan Kesehatan Kerja) , Manajemen Risiko, Kemampuan Komunikasi, Kepemimpinan, Manajemen Waktu, Pemahaman Hukum Maritim, Problem Solving"
30,Pengacara,"Kemampuan Pengacara, Hukum, Negosiasi, Persuasi, Berpikir Analitis, Kemampuan Analisis, Problem Solving, Kemampuan Komunikasi, Kemampuan Riset, Manajemen Waktu, Critical Thinking, Penelitian Hukum, Argumentasi, Penalaran Hukum, Advokasi"
31,Apoteker,"Kemampuan Komunikasi, Manajemen Waktu, Pemahaman Teknologi Kesehatan, Keterampilan Klinis, Problem Solving, Teamwork, Keterampilan Edukasi Pasien, Manajemen Proyek, Berpikir Analitis, Kimia Farmasi"
32,Polisi,"Ilmu Hukum, Kemampuan komunikasi, Kemampuan Analisis, Teamwork, Problem Solving, Keterampilan Teknis, Kriminologi Forensik, Critical Thinking"
33,Digital Marketing Specialist,"SEO (Search Engine Optimization), SEM (Search Engine Marketing), Manajemen Proyek, Literasi, Kreativitas, Problem Solving,  Analisis Pasar, Kemampuan Pemasaran Konten,  Pemasaran Digital, Media Sosial, Analisis Kampanye, Keterampilan Penulisan Konten"
34,Sales Representative,"Pengetahuan Perangkat Lunak, Kemampuan Negosiasi, Penawaran, Menguasai Ilmu Teknologi, Manager Pengembangan Bisnis, Pemasaran, Manajemen Tim, Manajemen Waktu, Pengetahuan Produk, Keterampilan Presentasi, Penjualan, Pelayanan Pelanggan, Keterampilan Komunikasi, Pemahaman Produk"
35,R&D,"Ilmu Komputer, Kemampuan Fabrikasi, Quality Check, Kemampuan Manajemen, Manajemen SDM (Sumber Daya Manusia), Support Service, Kemampuan Analisis"
36,Teknisi/Maintenance/Security/Data Warehouse,"Ilmu Teknik, Kemampuan Pembuatan Website, Kemampuan Analisis Web, Kemampuan Progamming, Design Qmail, Menguasai Google Analytics, Menganalisis Studi Kasus, Menguasai Metode Pelacakan Pertahanan Sistem"
37,Programming & Design,"Kemampuan Branding, Pengetahuan Perangkat Lunak, Kemampuan Negosiasi, Menguasai cara Penawaran Online, Komunikasi yang Baik, Ilmu Teknologi"
38,Programming & Design Web,"Manajemen Konten, Kemampuan digital, Pemasaran Digital, Analisis Web, Analisis Data, Menguasai Teknologi Web, Kemampuan Analisis Data SaaS, Menguasai Software, Kemampuan Informatika, Pengembangan Aplikasi"
39,Desain Vendor,"Customer Service, Hubungan Pelanggan, Kemampuan Kontrol Akses, Manajemen Aset"
40,Mechanical Engineer,"Keterampilan Komunikasi, Kemampuan Penanganan Material, AutoCAD, Menguasai Desain Teknik, Microstation, Teknik Mesin, Desain Produk, Pemodelan 3D ( 3 Dimensi), Teknik Manufaktur, Analisis Struktural, Energi Terbarukan"
41,UI/UX Desainer,"Keterampilan Desain Visual, Keterampilan Desain Grafis, User-Centered Design, Tipografi, Kemampuan Prototyping, Kemampuan Wireframe, Kemampuan Riset, Adobe Creative Cloud, Sketch, Critical Thinking, Kemampuan Komunikasi, Teamwork, Manajemen Waktu, Riset Pengguna, Pengujian Pengguna"
42,Desainer Grafis,"Adobe Creative Suite, Tipografi, Critical Thinking, Kemampuan Komunikasi, Teamwork, Animasi, Kreativitas, Desain Grafis, Photoshop, Illustrator, InDesign, Kreativitas, Komunikasi Visual, Desain Interaksi"
43,Data Analis/Data Saintis,"Analisis Data, Analisis Statistik, Kemampuan Visualisasi, Menguasai Bahasa Pemrograman, Menguasai MS. Excel, Critical Thinking, Problem Solving, Kemampuan Komunikasi, Public Speaking, Memahami Teknologi Analisis Data"
44,Pengisi Suara/Suara,"Dukungan Teknis, Layanan Dukungan, Dukungan Aplikasi, Keterampilan Komunikasi, Teknologi Proses Berbasis Suara, Semi Suara, Semi Voice process"
45,HR/ Recruitment / IR,"Manajemen Sumber Daya Manusia, Rekrutmen dan Seleksi, Pelatihan dan Pengembangan, Keterampilan Komunikasi, Kebijakan"
46,Content Development,"Menguasai Konten Digital, Pengembangan Konten, Manajemen Produksi"
47,Sales Engineer,"Pengembangan Bisnis, Penjualan Teknis, Pemahaman Produk, Keterampilan Presentasi, Komunikasi Teknis, Negosiasi, Pengetahuan Industri"
48,Administrative Coordinator,"Koordinasi Administratif, Manajemen Waktu, Keterampilan Komunikasi, Pengelolaan Dokumen, Keterampilan Organisasi, Penyelesaian Masalah"
49,Koordinator Logistik,"Ilmu Administrasi, Koordinasi Logistik, Manajemen Persediaan, Pemantauan Pengiriman, Negosiasi Kontrak, Penggunaan Sistem Informasi Logistik, Penyelesaian Masalah Logistik"
50,Marketing Manajer,"Kepemimpinan, Manajemen Proyek, Manajemen Merek, Komunikasi Pemasaran, Manajemen Tim, Rencana Pemasaran, Kreativitas dalam Kampanye"
51,QA/Pengujian/Documentation,"Kemampuan Penulisan Teknis, Dokumentasi Teknis, Penulisan Artikel, Keterampilan Menulis"
52,Back Office/Web/Transaction Processing,"Kemampuan asisten HR (Human Resources) , Menguasai IT (Teknologi Informasi), Analisis Keuangan, Manajamen Administratif, Manajemen Proyek, Kemampuan Komunikasi "
53,Finance/Audit,"Kemampuan Komunikasi, Critical Thinking, Keterampilan Analitis, Problem Solving, Organization, Manajemen Waktu, Teamwork, Kemampuan Akuntan, Kemampuan Audit, Kemampuan Analisis Data, Menguasai IT ( Teknologi Informasi)"
54,Public Relations Specialist,"Teamwork, Hubungan Masyarakat, Keterampilan Penulisan, Presentasi Publik, Manajemen Krisis, Riset Pasar, Strategi Komunikasi, Pengembangan Merek, Kolaborasi Media, Evaluasi Kinerja Kampanye"
55,Jurnalistik/ Penulis/ Content Writer,"Digital Journalism, Mobile Journalism, Menulis, Riset, SEO (Search Engine Optimization), Kreativitas, Pemahaman Pasar, Pemahaman Audiens, Penyuntingan, Proyeksi Bahasa"
56,Software Developer,"Algoritma, Struktur Data, Pemecahan Masalah, Pengembangan Web, Keterampilan Komunikasi, Manajemen Proyek, Pengembangan Perangkat Lunak, Pemrograman, Kolaborasi Tim, Pengujian Perangkat Lunak"
57,Data Scientist,"Analisis Data, Pengolahan Data, Statistik, Machine Learning, Python, Visualisasi Data"
58,Financial Analyst,"Analisis Keuangan, Excel, Model Keuangan, Pengambilan Keputusan, Keterampilan Presentasi, Penelitian Pasar"
59,Human Resources Manager,"Manajemen SDM (Sumber Daya Manusia), Rekrutmen, Kebijakan Prosedur, Pelatihan, Pengembangan, Hubungan Industrial, Manajemen Konflik, Administrasi Personalia, Keterampilan Komunikasi, Pemahaman Kebijakan Perusahaan, Pelatihan, Pengembangan"
60,Customer Service Representative,"Komunikasi yang Efektif, Pelayanan Pelanggan, Penanganan Keluhan, Pengetahuan Produk, Keterampilan Komputer, Manajemen Waktu"
61,Project Manager,"Manajemen Proyek, Perencanaan, Pengorganisasian, Komunikasi Proyek, Manajemen Risiko, Kepemimpinan, Pemecahan Masalah, Komunikasi Tim, Pengawasan Proyek"
62,IT Support Specialist,"Troubleshooting Komputer, Sistem Operasi, Jaringan Komputer, Keterampilan Komunikasi Teknis, Manajemen Tiket Dukungan, Virtualisasi"
63,Social Media Manager,"Manajemen Media Sosial, Strategi Konten, Analisis Kinerja, Keterampilan Kreatif, Riset Pasar, Pemasaran Influencer"
64,Financial Planner,"Perencanaan Keuangan, Investasi, Analisis Portofolio, Perencanaan Pajak, Manajemen Risiko Keuangan, Keterampilan Presentasi Keuangan"
65,Web Developer,"Basis Data, Keamanan Web, Pengembangan Web, HTML, CSS, JavaScript, Framework, Keterampilan Problem Solving, Manajemen Proyek, Pengoptimalan Kinerja Situs Web"
66,Cybersecurity Analyst,"Keamanan Informasi, Penanganan Ancaman, Analisis Malware, Jaringan Keamanan, Penyelidikan Insiden, Keterampilan Penyelidikan Digital"
67,Product Manager,"Manajemen Produk, Riset Pasar, Perencanaan Produk, Strategi Produk, Pengembangan Produk, Pemasaran Produk"
68,Data Engineer,"Pengolahan Data, Basis Data, Pengembangan Perangkat Lunak, Cloud Computing, ETL (Extract, Transform, Load), Analisis Big Data"
69,Digital Content Creator,"Kreativitas Konten, Fotografi, Videografi, Penulisan Berita, Pengeditan Video, Pengembangan Situs Web, Manajemen Konten"
70,Business Analyst,"Analisis Bisnis, Perencanaan Proyek, Keterampilan Presentasi, Riset Pasar, Alat Analisis Bisnis, Penulisan Laporan Bisnis"
71,UI/UX Researcher,"Riset Pengguna, Wawancara Pengguna, Observasi Pengguna, Analisis Data Pengguna, Interpretasi Hasil Riset, Presentasi Hasil Riset"
72,Content Marketing Manager,"Strategi Konten, Keterampilan Penulisan Kreatif, SEO (Search Engine Optimization), Analisis Kinerja Konten, Kolaborasi Tim, Pengembangan Branding"
73,Customer Relationship Manager,"Komunikasi yang Efektif, Pelayanan Pelanggan, Keterampilan Negosiasi, Manajemen Hubungan Pelanggan, Penyelesaian Masalah, Analisis Kebutuhan Pelanggan."
74,Event Planner/ Event Coordinator/ Spesialis Acara,"Perencanaan Acara, Kreativitas, Pengorganisasian, Komunikasi, Negosiasi, Manajemen Waktu, Pemecahan Masalah, Kreativitas"
75,Sales Manager,"Penjualan, Manajemen Tim Penjualan, Analisis Pasar, Keterampilan Presentasi, Pengembangan Strategi Penjualan, Pemahaman Produk dan Pasar"
76,Account Manager,"Manajemen Akun, Komunikasi yang Efektif, Negosiasi, Keterampilan Penjualan, Analisis Keuangan, Pemahaman Industri"
77,HR Generalist,"Customer Service, Manajemen Data, Koordinator HR, Audit Manajemen, Perencanaan Suksesi, Manajemen Talen, Kemampuan Akuisisi bakat, Manajemen Sumber Daya Manusia, Kebijakan"
78,Administrative Assistant,"Administrasi Umum, Manajemen Waktu, Keterampilan Komunikasi, Pengelolaan File, Keahlian Komputer, Keterampilan Organisasi"
79,Financial Advisor,"Perencanaan Keuangan, Investasi, Pajak, Manajemen Risiko Keuangan, Keterampilan Presentasi Keuangan, Penelitian Pasar Keuangan"
80,Real Estate Agent,"Penjualan Properti, Negosiasi, Pemasaran Properti, Pengetahuan Pasar Properti, Keterampilan Presentasi, Hukum Properti"
81,Restaurant Manager,"Manajemen Restoran, Keterampilan Kepemimpinan, Pelayanan Pelanggan, Manajemen Inventaris, Pengelolaan Staf, Keuangan Restoran"
82,Account Executive,"Penjualan, Komunikasi yang Efektif, Negosiasi, Manajemen Hubungan Pelanggan, Analisis Pasar, Pengetahuan Produk, Pengetahuan Layanan"
83,Executive Assistant,"Administrasi Umum, Manajemen Waktu, Komunikasi yang Efektif, Penanganan Informasi Rahasia, Keterampilan Organisasi, Pemahaman Bisnis"
84,Marketing Coordinator,"Rencana Pemasaran, Penelitian Pasar, Kreativitas, Keterampilan Komunikasi, Manajemen Proyek, Analisis Kinerja Kampanye"
85,Operations Manager,"Manajemen Operasional, Pengembangan Proses, Pengelolaan Inventaris, Keterampilan Kepemimpinan, Analisis Kinerja Operasional, Perencanaan Strategis, Pengelolaan Tim, Keterampilan Komunikasi, Analisis Kinerja Operasional"
86,Retail Store Manager,"Manajemen Toko, Penjualan, Layanan Pelanggan, Pengelolaan Stok, Keterampilan Kepemimpinan, Pemahaman Pasar, Pemahaman Produk, Analisis Kinerja Toko, Manajemen Pengembangan Bisnis, Pemasaran"
87,Project Coordinator,"Manajemen Proyek, Perencanaan dan Koordinasi, Keterampilan Komunikasi, Pengorganisasian, Pemecahan Masalah, Pemahaman Teknik Proyek"
88,Financial Analyst,"Analisis Keuangan, Excel, Pemodelan Keuangan, Penelitian Pasar, Presentasi Keuangan, Analisis Portofolio"
89,Interior Designer/ Interior Decorator,"Kreativitas, Keterampilan Komunikasi, Pengetahuan Material, Pengetahuan Furnitur, Pengelolaan Proyek, Pengetahuan Teknik Bangunan, Desain Interior, Kreativitas, Pengetahuan Furnitur, Keterampilan Presentasi, Kolaborasi dengan Klien, Pemahaman Budget, Pemahaman Biaya"
90,Personal Trainer,"Kebugaran Fisik, Pengetahuan Anatomi, Pengetahuan Fisiologi, Keterampilan Komunikasi, Perencanaan Latihan, Motivasi, Pengetahuan Gizi"
91,Copywriter,"Menulis, Kreativitas, Penelitian, Pemahaman Target Audiens, SEO (Search Engine Optimization), Keterampilan Persuasif"
92,Fashion Designer,"Desain Busana, Kreativitas, Pengetahuan Material , Pengetahuan Tekstil, Menggambar Teknis, Pengelolaan Proyek, Riset Tren Fashion"
93,Asisten Hukum,"Penelitian Hukum, Administrasi Hukum, Keterampilan Komunikasi, Pengetahuan Hukum, Keterampilan Teknis, Kepatuhan Regulasi"
94,Event Photographer,"Fotografi, Pemahaman Teknis Kamera, Kreativitas, Komunikasi dengan Klien, Pengeditan Foto, Manajemen Waktu"
95,Culinary Chef,"Masakan, Kreativitas Kuliner, Keterampilan Organisasi Dapur, Kepatuhan Kebersihan Makanan, Manajemen Staf, Inovasi Kuliner, Manajemen Waktu, Manajemen Dapur, Kemampuan Bisnis, Inovasi Kuliner"
96,Financial Planner,"Perencanaan Keuangan, Pajak, Investasi, Keterampilan Komunikasi Keuangan, Analisis Portofolio, Perencanaan Pensiun"
97,Social Worker,"Keterampilan Komunikasi, Empati, Penanganan Krisis, Keterampilan Konseling, Pengetahuan Layanan Sosial, Manajemen Kasus"
98,Graphic Illustrator,"Ilustrasi, Kreativitas, Penggunaan Perangkat Lunak Desain Grafis, Pengetahuan Komposisi Visual, Kerjasama Tim"
99,Occupational Therapist,"Terapi Okupasional, Keterampilan Komunikasi, Pemahaman Anatomi, Pemahaman Fisiologi, Kreativitas Rencana Terapi, Pengamatan Pasien, Kolaborasi Tim Medis"
100,Ilmuwan lingkungan,"Ilmu Lingkungan, Penelitian, Analisis Data, Pengelolaan Proyek, Keterampilan Komunikasi Ilmiah, Interpretasi Kebijakan Lingkungan"
101,Travel Agent,"Pengetahuan Destinasi Wisata, Keterampilan Komunikasi, Penawaran, Negosiasi, Pemahaman Tiket, Pemahaman Akomodasi, Penggunaan Sistem Pemesanan, Perencanaan Rute Perjalanan."
102,Physical Therapist,"Terapi Fisik, Pemahaman Anatomi, Pemahaman Fisiologi, Keterampilan Komunikasi Pasien, Evaluasi Fisik, Pemecahan Masalah, Manajemen Kasus"
103,Fashion Stylist,"Mode dan Tren, Kreativitas, Keterampilan Komunikasi, Pengetahuan Tekstil, Kolaborasi dengan Klien, Manajemen Gaya"
104,Legal Secretary/ Legal Assistant/ Legal Counse,"Administrasi Hukum, Penelitian Hukum, Keterampilan Komunikasi, Pengelolaan Dokumen Hukum, Pemahaman Proses Hukum, Kepatuhan Regulasi"
105,Marketing Analyst,"Analisis Pemasaran, Pengolahan Data, Riset Pasar, Presentasi Data, Keterampilan Komunikasi, Penggunaan Alat Analisis"
106,Dental Hygienist,"Kebersihan Gigi, Keterampilan Komunikasi Pasien, Evaluasi Gigi, Pekerjaan Klinis, Manajemen Jangka Panjang Perawatan, Keterampilan Edukasi Pasien"
107,Fashion Merchandiser,"Merchandising, Pemahaman Tren Mode, Analisis Pasar, Keterampilan Presentasi Produk, Pengelolaan Stok, Rencana Penjualan"
108,Occupational Health and Safety Specialist,"Kesehatan Kerja, Keselamatan Kerja, Inspeksi Keselamatan, Penyuluhan Keselamatan, Manajemen Risiko, Investigasi Kecelakaan, Kepatuhan Peraturan Keselamatan"
109,Fitness Instructor,"Pendidikan Jasmani, Keterampilan Komunikasi, Pengetahuan Anatomi, Pengetahuan Fisiologi, Perencanaan Program Latihan, Motivasi, Pemahaman Nutrisi"
110,Operations Analyst,"Analisis Operasional, Pemodelan Bisnis, Manajemen Proses, Pengembangan Solusi Efisiensi, Evaluasi Kinerja Operasional, Keterampilan Presentasi"
111,Travel Nurse,"Asuhan Pasien, Keterampilan Komunikasi, Adaptasi, Pengetahuan Medis yang Luas, Kolaborasi Tim, Kepatuhan Protokol Kesehatan"
112,Procurement Specialist,"Pengadaan, Negosiasi Kontrak, Analisis Vendor, Manajemen Persediaan, Pengembangan RFI/RFP, Evaluasi Kinerja Pemasok"
113,Sales Operations Manager,"Operasi Penjualan, Manajemen Tim Penjualan, Analisis Penjualan, Pengembangan Strategi Penjualan, Keterampilan Kepemimpinan, Evaluasi Kinerja Penjualan"
114,Executive Chef,"Manajemen Dapur, Kreativitas Kuliner, Pengawasan Produksi Makanan, Pengembangan Menu, Manajemen Staf, Kualitas Makanan, Kontrol Biaya, Manajemen Waktu, Inovasi Kuliner"
115,Research Scientist,"Penelitian Ilmiah, Metode Penelitian, Analisis Data, Presentasi Ilmiah, Pengembangan Hipotesis, Publikasi Ilmiah"
116,Operations Coordinator,"Koordinasi Operasional, Administrasi, Keterampilan Komunikasi, Pengorganisasian, Manajemen Waktu, Penyelesaian Masalah"
117,Veterinary Technician,"Pemahaman Medis Hewan, Keterampilan Komunikasi dengan Pemilik Hewan, Pemeriksaan Fisik Hewan, Penanganan Hewan yang Sakit, Teknik Pemeliharaan Catatan Medis, Keterampilan Laboratorium"
118,Financial Analyst,"Analisis Keuangan, Excel, Model Keuangan, Pengambilan Keputusan, Keterampilan Presentasi, Penelitian Pasar"
119,Executive Assistant,"Administrasi Umum, Manajemen Waktu, Keterampilan Komunikasi, Penanganan Informasi Rahasia, Keterampilan Organisasi, Pemahaman Bisnis"
120,Social Worker,"Keterampilan Komunikasi, Empati, Penanganan Krisis, Keterampilan Konseling, Pengetahuan Layanan Sosial, Manajemen Kasus"
121,Electrician,"Kelistrikan, Pemahaman Blueprints, Keterampilan Troubleshooting, Keterampilan Komunikasi, Keselamatan Kerja, Pemeliharaan Sistem Elektrikal"
122,Dental Assistant,"Asisten Dokter Gigi, Sterilisasi Alat, Pemahaman Prosedur Kedokteran Gigi, Keterampilan Komunikasi Pasien, Administrasi Kantor, Pengelolaan Persediaan"
123,Insurance Agent,"Penjualan Asuransi, Keterampilan Komunikasi, Pengetahuan Produk Asuransi, Manajemen Hubungan Pelanggan, Analisis Kebutuhan Asuransi, Pemasaran, Strategi Penjualan"
124,Registered Nurse,"Asuhan Pasien, Observasi Klinis, Pemahaman Kebutuhan Medis, Komunikasi Pasien, Penyuluhan Kesehatan, Keterampilan Kolaborasi Tim Medis"
125,Pharmaceutical Sales Representative,"Penjualan Farmasi, Pengetahuan Produk, Keterampilan Komunikasi, Penelitian Pasar, Analisis Persaingan, Manajemen Hubungan Pelanggan"
126,Supply Chain Analyst,"Analisis Rantai Pasokan, Pengolahan Data, Pemodelan Matematis, Perencanaan Produksi, Pengembangan Strategi Rantai Pasokan, Manajemen Inventaris"
127,Financial Advisor,"Perencanaan Keuangan, Investasi, Pajak, Manajemen Portofolio, Keterampilan Presentasi Keuangan, Pemahaman Pasar Keuangan"
128,Social Media Manager,"Manajemen Media Sosial, Kreativitas, Analisis Data, Keterampilan Komunikasi, Rencana Konten, Pengembangan Branding"
129,Civil Engineer,"Teknik Sipil, Pemodelan Struktural, Pengelolaan Proyek, Pemahaman Kode Bangunan, Desain Drainase, Analisis Tanah"
130,Dental Hygienist,"Kebersihan Gigi, Keterampilan Komunikasi Pasien, Evaluasi Gigi, Pekerjaan Klinis, Manajemen Jangka Panjang Perawatan, Keterampilan Edukasi Pasien"
131,Laboratory Technician,"Pemahaman Laboratorium, Pemrosesan Sampel, Keterampilan Teknis, Penggunaan Alat Laboratorium, Keselamatan, Kebersihan, Analisis Data"
132,Supply Chain Manager,"Manajemen Rantai Pasokan, Strategi Logistik, Pengelolaan Persediaan, Hubungan Pemasok, Analisis Kinerja Rantai Pasokan, Keterampilan Negosiasi"
