Pekerjaan,Skill
,
Programmer,"Coding skills, Problem solving, Kolaborasi, Komunikasi, Adaptabilitas Teknologi, Pembelajaran Berkelanjutan"
Web Designer ,"Dasar-dasar desain, HTML, CSS, JavaScript"
Guru/Pendidik/Konselor/Mentor,"Penguasaan Materi, Keterampilan Pedagogik, Adaptif, Kemampuan Komunikasi, Public Speaking, Refleksi, Pengembangan Diri, Pengajaran, Perencanaan Pelajaran, Evaluasi Murid, Pendidikan Anak Usia Dini, Teknologi Pembelajaran, Manajemen Kelas"
Insinyur Arsitektur,"Teamwork,  Pengelolaan Proyek, Teknik Arsitektur, Desain Struktural, Pemodelan 3D (Tiga Dimensi) , Keterampilan Presentasi, Manajemen Proyek, Pengetahuan Kode Bangunan"
Nelayan,"Teknik menangkap ikan, Keterampilan Mekanik Kapal, Manajemen waktu"
Perawat,"Pola Keperawatan, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Asuhan Pasien, Pengelolaan Stres, Keterampilan Klinis, Penyuluhan Kesehatan, Kolaborasi Tim"
Dokter,"Leadership,  Empati, Manajemen Stres , Etos kerja, Ilmu Biomedik , Keterampilan Klinis, Komunikasi Pasien, Penyuluhan Kesehatan, Diagnosis Penyakit, Manajemen Pasien, Keterampilan Bedah"
Bidan,"Ilmu Humaniora, Perawatan Prenatal , Ilmu Kehamilan, Ilmu Persalinan, Kemampuan Komunikasi"
Pemadam Kebakaran,"Ilmu Geologis, Teamwork, Manajemen Waktu, Evakuasi, K3 (Keselamatan dan Kesehatan Kerja), Pencegahan, Penanggulangan "
Kondektur,"Customer Service, Kemampuan Komunikasi, Bahasa Asing, Pengetahuan Keselamatan Penumpang, Ilmu Transportasi, Ilmu Geografi, Studi Pariwisata"
Pilot,"Teknik Penerbangan, Keselamatan Penerbangan, Manajemen waktu penerbangan, Problem Solving, Multi-tasking"
Masinis,"Ilmu mesin, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan Komunikasi, Konsentrasi, Ilmu Teknik"
Wartawan,"Teknik Jurnalistik, Kemampuan Komunikasi, Manajemen waktu, Editor Gambar Video, Investigasi, Story telling "
Insinyur Mesin,"Software, Dasar ilmu komputer, Teamwork, Kemampuan Komunikasi, Desain Sirkuit,Pengukuran dan Kontrol, Elektronika Daya, Pemrograman Mikrokontroler, Teknik Daya"
Ahli Gizi,"HACCP ( Hazrad Analysis Contol Point), Critical Control Point, Critical Thinking, Organizational Skill, Instructional Skill, Food technology, Ilmu gizi, Dietetika, Ketangguhan, Kemampuan komunikasi, Bahasa Asing"
Pustakawan,"Analisis data, Kemampuan Komunikasi, Analisis Informasi, Literasi Digital, IT (Teknologi Informasi), Customer Service"
Hakim,"Ilmu Hukum, Critical Thinking, Public Speaking, Kemampuan Analisa, Kemampuan Komunikasi, Good Governance, Active Listening "
Notaris,"Ilmu Hukum, Prosedur Notaris, Keterampilan Negosiasi, Kemampuan Komunikasi, Administrasi, Literasi"
Teller Bank,"Kemampuan Komunikasi, Mengoperasikan Teknologi, Numerik, Manajemen Krisis, Customer Service, Multitasking, Problem Solving, Teamwork, Manajemen Proyek "
Penerjemah,"Berbahasa Asing, Pengetahuan Budaya, Kemampuan Komunikasi, Public Speaking, Mengoperasikan Komputer, Manajemen waktu, Fleksibilitas, Kreatif, Berpikir Cepat, Literasi "
Tentara,"Kepemimpinan, Taktis Strategis, Bela Diri, Kemampuan Fisik, Keterampilan Senjata, Taktik Tempur, Keterampilan Komunikasi, Teamwork, Medis Darurat Dasar, Teknologi Militer, Keterampilan Adaptasi "
Tukang Cukur,"Pemangkasan, Penataan, Teknik Mencukur, Metode Perawatan, Manajemen Waktu, Kemampuan Komunikasi, Kreativitas"
Petani,"Ilmu Pertanian, Ilmu Agroteknologi, Kemampuan Budidaya Pertanian, Jenis Penyakit Tumbuhan, Ilmu Mikrobiologi Pertanian, Agribisnis, Biologi, Kemampuan Komunikasi, Critical thinking, Administratif, Keterampilan Adaptif, Strategi Pemasaran"
Akuntan,"Analisis Data, Analisis Statistik, Kemampuan Teknis, Kemampuan menulis, kemampuan Komunikasi, Manajemen Waktu, Manajemen Bisnis, Manajemen Regulasi, Problem Solving, Critical Thinking, Teamwork, Akuntansi Dasar, Excel, Pelaporan Keuangan, Audit, Pajak, Analisis Keuangan, Industri Layanan, Kepemimpinan, Kemampuan Pembinaan, Faktur Penggajian, Logika Matematika "
Desainer,"Kemampuan Menggambar, Software Desain, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Branding, Resolusi Konflik, Literasi, Desain UX, Skill Ideation, Metode Riset"
Satpam,"Ilmu Tongkat T, TURJAWALI (Pengaturan, Penjagaan, Pengawalan dan Patroli) , Jenis Bahan Peledak, Jenis Narkoba, Kemampuan Beladiri, K3 (Keselamatan dan Kesehatan Kerja), Kemampuan HT ( Handy Talkie) , TP-TKP (Tindakan Pertama), Kemampuan Komunikasi"
Peternak,"Ilmu Dasar Peternakan, Kemampuan Komunikasi, Critical Thinking, Literasi, Problem Solving, Ilmu Pengembangan Iptek, Teknik Pengelolaan Usaha, Produk Ternak "
Peneliti,"Keterampilan Meneliti, Keterampilan Pelaporan, Keterampilan Analisis Data, Ilmu Komputer, Manajemen Waktu, Problem Solving, Kemampuan Komunikasi, Public Speaking, Critical Thinking, Penelusuran Kepustakaan, Data Engineering, Riset, Kepemimpinan "
Nahkoda,"Ilmu Geografis, Navigasi, Peta Laut, Teknis Kapal, Pemahaman Cuaca, K3 (Keselamatan dan Kesehatan Kerja) , Manajemen Risiko, Kemampuan Komunikasi, Kepemimpinan, Manajemen Waktu, Pemahaman Hukum Maritim, Problem Solving"
Pengacara,"Kemampuan Pengacara, Hukum, Negosiasi, Persuasi, Berpikir Analitis, Kemampuan Analisis, Problem Solving, Kemampuan Komunikasi, Kemampuan Riset, Manajemen Waktu, Critical Thinking, Penelitian Hukum, Argumentasi, Penalaran Hukum, Advokasi"
Apoteker,"Kemampuan Komunikasi, Manajemen Waktu, Pemahaman Teknologi Kesehatan, Keterampilan Klinis, Problem Solving, Teamwork, Keterampilan Edukasi Pasien, Manajemen Proyek, Berpikir Analitis, Kimia Farmasi"
Polisi,"Ilmu Hukum, Kemampuan komunikasi, Kemampuan Analisis, Teamwork, Problem Solving, Keterampilan Teknis, Kriminologi Forensik, Critical Thinking"
Digital Marketing Specialist,"SEO (Search Engine Optimization), SEM (Search Engine Marketing), Manajemen Proyek, Literasi, Kreativitas, Problem Solving,  Analisis Pasar, Kemampuan Pemasaran Konten,  Pemasaran Digital, Media Sosial, Analisis Kampanye, Keterampilan Penulisan Konten"
Sales Representative,"Pengetahuan Perangkat Lunak, Kemampuan Negosiasi, Penawaran, Menguasai Ilmu Teknologi, Manager Pengembangan Bisnis, Pemasaran, Manajemen Tim, Manajemen Waktu, Pengetahuan Produk, Keterampilan Presentasi, Penjualan, Pelayanan Pelanggan, Keterampilan Komunikasi, Pemahaman Produk"
R&D,"Ilmu Komputer, Kemampuan Fabrikasi, Quality Check, Kemampuan Manajemen, Manajemen SDM (Sumber Daya Manusia), Support Service, Kemampuan Analisis"
Teknisi/Maintenance/Security/Data Warehouse,"Ilmu Teknik, Kemampuan Pembuatan Website, Kemampuan Analisis Web, Kemampuan Progamming, Design Qmail, Menguasai Google Analytics, Menganalisis Studi Kasus, Menguasai Metode Pelacakan Pertahanan Sistem"
Programming & Design,"Kemampuan Branding, Pengetahuan Perangkat Lunak, Kemampuan Negosiasi, Menguasai cara Penawaran Online, Komunikasi yang Baik, Ilmu Teknologi"
Programming & Design Web,"Manajemen Konten, Kemampuan digital, Pemasaran Digital, Analisis Web, Analisis Data, Menguasai Teknologi Web, Kemampuan Analisis Data SaaS, Menguasai Software, Kemampuan Informatika, Pengembangan Aplikasi"
Desain Vendor,"Customer Service, Hubungan Pelanggan, Kemampuan Kontrol Akses, Manajemen Aset"
Mechanical Engineer,"Keterampilan Komunikasi, Kemampuan Penanganan Material, AutoCAD, Menguasai Desain Teknik, Microstation, Teknik Mesin, Desain Produk, Pemodelan 3D ( 3 Dimensi), Teknik Manufaktur, Analisis Struktural, Energi Terbarukan"
UI/UX Desainer,"Keterampilan Desain Visual, Keterampilan Desain Grafis, User-Centered Design, Tipografi, Kemampuan Prototyping, Kemampuan Wireframe, Kemampuan Riset, Adobe Creative Cloud, Sketch, Critical Thinking, Kemampuan Komunikasi, Teamwork, Manajemen Waktu, Riset Pengguna, Pengujian Pengguna"
Desainer Grafis,"Adobe Creative Suite, Tipografi, Critical Thinking, Kemampuan Komunikasi, Teamwork, Animasi, Kreativitas, Desain Grafis, Photoshop, Illustrator, InDesign, Kreativitas, Komunikasi Visual, Desain Interaksi"
Data Analis/Data Saintis,"Analisis Data, Analisis Statistik, Kemampuan Visualisasi, Menguasai Bahasa Pemrograman, Menguasai MS. Excel, Critical Thinking, Problem Solving, Kemampuan Komunikasi, Public Speaking, Memahami Teknologi Analisis Data"
Pengisi Suara/Suara,"Dukungan Teknis, Layanan Dukungan, Dukungan Aplikasi, Keterampilan Komunikasi, Teknologi Proses Berbasis Suara, Semi Suara, Semi Voice process"
HR/ Recruitment / IR,"Manajemen Sumber Daya Manusia, Rekrutmen dan Seleksi, Pelatihan dan Pengembangan, Keterampilan Komunikasi, Kebijakan"
Content Development,"Menguasai Konten Digital, Pengembangan Konten, Manajemen Produksi"
Sales Engineer,"Pengembangan Bisnis, Penjualan Teknis, Pemahaman Produk, Keterampilan Presentasi, Komunikasi Teknis, Negosiasi, Pengetahuan Industri"
Administrative Coordinator,"Koordinasi Administratif, Manajemen Waktu, Keterampilan Komunikasi, Pengelolaan Dokumen, Keterampilan Organisasi, Penyelesaian Masalah"
Koordinator Logistik,"Ilmu Administrasi, Koordinasi Logistik, Manajemen Persediaan, Pemantauan Pengiriman, Negosiasi Kontrak, Penggunaan Sistem Informasi Logistik, Penyelesaian Masalah Logistik"
Marketing Manajer,"Kepemimpinan, Manajemen Proyek, Manajemen Merek, Komunikasi Pemasaran, Manajemen Tim, Rencana Pemasaran, Kreativitas dalam Kampanye"
QA/Pengujian/Documentation,"Kemampuan Penulisan Teknis, Dokumentasi Teknis, Penulisan Artikel, Keterampilan Menulis"
Back Office/Web/Transaction Processing,"Kemampuan asisten HR (Human Resources) , Menguasai IT (Teknologi Informasi), Analisis Keuangan, Manajamen Administratif, Manajemen Proyek, Kemampuan Komunikasi "
Finance/Audit,"Kemampuan Komunikasi, Critical Thinking, Keterampilan Analitis, Problem Solving, Organization, Manajemen Waktu, Teamwork, Kemampuan Akuntan, Kemampuan Audit, Kemampuan Analisis Data, Menguasai IT ( Teknologi Informasi)"
Public Relations Specialist,"Teamwork, Hubungan Masyarakat, Keterampilan Penulisan, Presentasi Publik, Manajemen Krisis, Riset Pasar, Strategi Komunikasi, Pengembangan Merek, Kolaborasi Media, Evaluasi Kinerja Kampanye"
Jurnalistik/ Penulis/ Content Writer,"Digital Journalism, Mobile Journalism, Menulis, Riset, SEO (Search Engine Optimization), Kreativitas, Pemahaman Pasar, Pemahaman Audiens, Penyuntingan, Proyeksi Bahasa"
Software Developer,"Algoritma, Struktur Data, Pemecahan Masalah, Pengembangan Web, Keterampilan Komunikasi, Manajemen Proyek, Pengembangan Perangkat Lunak, Pemrograman, Kolaborasi Tim, Pengujian Perangkat Lunak"
Data Scientist,"Analisis Data, Pengolahan Data, Statistik, Machine Learning, Python, Visualisasi Data"
Financial Analyst,"Analisis Keuangan, Excel, Model Keuangan, Pengambilan Keputusan, Keterampilan Presentasi, Penelitian Pasar"
Human Resources Manager,"Manajemen SDM (Sumber Daya Manusia), Rekrutmen, Kebijakan Prosedur, Pelatihan, Pengembangan, Hubungan Industrial, Manajemen Konflik, Administrasi Personalia, Keterampilan Komunikasi, Pemahaman Kebijakan Perusahaan, Pelatihan, Pengembangan"
Customer Service Representative,"Komunikasi yang Efektif, Pelayanan Pelanggan, Penanganan Keluhan, Pengetahuan Produk, Keterampilan Komputer, Manajemen Waktu"
Project Manager,"Manajemen Proyek, Perencanaan, Pengorganisasian, Komunikasi Proyek, Manajemen Risiko, Kepemimpinan, Pemecahan Masalah, Komunikasi Tim, Pengawasan Proyek"
IT Support Specialist,"Troubleshooting Komputer, Sistem Operasi, Jaringan Komputer, Keterampilan Komunikasi Teknis, Manajemen Tiket Dukungan, Virtualisasi"
Social Media Manager,"Manajemen Media Sosial, Strategi Konten, Analisis Kinerja, Keterampilan Kreatif, Riset Pasar, Pemasaran Influencer"
Financial Planner,"Perencanaan Keuangan, Investasi, Analisis Portofolio, Perencanaan Pajak, Manajemen Risiko Keuangan, Keterampilan Presentasi Keuangan"
Web Developer,"Basis Data, Keamanan Web, Pengembangan Web, HTML, CSS, JavaScript, Framework, Keterampilan Problem Solving, Manajemen Proyek, Pengoptimalan Kinerja Situs Web"
Cybersecurity Analyst,"Keamanan Informasi, Penanganan Ancaman, Analisis Malware, Jaringan Keamanan, Penyelidikan Insiden, Keterampilan Penyelidikan Digital"
Product Manager,"Manajemen Produk, Riset Pasar, Perencanaan Produk, Strategi Produk, Pengembangan Produk, Pemasaran Produk"
Data Engineer,"Pengolahan Data, Basis Data, Pengembangan Perangkat Lunak, Cloud Computing, ETL (Extract, Transform, Load), Analisis Big Data"
Digital Content Creator,"Kreativitas Konten, Fotografi, Videografi, Penulisan Berita, Pengeditan Video, Pengembangan Situs Web, Manajemen Konten"
Business Analyst,"Analisis Bisnis, Perencanaan Proyek, Keterampilan Presentasi, Riset Pasar, Alat Analisis Bisnis, Penulisan Laporan Bisnis"
UI/UX Researcher,"Riset Pengguna, Wawancara Pengguna, Observasi Pengguna, Analisis Data Pengguna, Interpretasi Hasil Riset, Presentasi Hasil Riset"
Content Marketing Manager,"Strategi Konten, Keterampilan Penulisan Kreatif, SEO (Search Engine Optimization), Analisis Kinerja Konten, Kolaborasi Tim, Pengembangan Branding"
Customer Relationship Manager,"Komunikasi yang Efektif, Pelayanan Pelanggan, Keterampilan Negosiasi, Manajemen Hubungan Pelanggan, Penyelesaian Masalah, Analisis Kebutuhan Pelanggan."
Event Planner/ Event Coordinator/ Spesialis Acara,"Perencanaan Acara, Kreativitas, Pengorganisasian, Komunikasi, Negosiasi, Manajemen Waktu, Pemecahan Masalah, Kreativitas"
Sales Manager,"Penjualan, Manajemen Tim Penjualan, Analisis Pasar, Keterampilan Presentasi, Pengembangan Strategi Penjualan, Pemahaman Produk dan Pasar"
Account Manager,"Manajemen Akun, Komunikasi yang Efektif, Negosiasi, Keterampilan Penjualan, Analisis Keuangan, Pemahaman Industri"
HR Generalist,"Customer Service, Manajemen Data, Koordinator HR, Audit Manajemen, Perencanaan Suksesi, Manajemen Talen, Kemampuan Akuisisi bakat, Manajemen Sumber Daya Manusia, Kebijakan"
Administrative Assistant,"Administrasi Umum, Manajemen Waktu, Keterampilan Komunikasi, Pengelolaan File, Keahlian Komputer, Keterampilan Organisasi"
Financial Advisor,"Perencanaan Keuangan, Investasi, Pajak, Manajemen Risiko Keuangan, Keterampilan Presentasi Keuangan, Penelitian Pasar Keuangan"
Real Estate Agent,"Penjualan Properti, Negosiasi, Pemasaran Properti, Pengetahuan Pasar Properti, Keterampilan Presentasi, Hukum Properti"
Restaurant Manager,"Manajemen Restoran, Keterampilan Kepemimpinan, Pelayanan Pelanggan, Manajemen Inventaris, Pengelolaan Staf, Keuangan Restoran"
Account Executive,"Penjualan, Komunikasi yang Efektif, Negosiasi, Manajemen Hubungan Pelanggan, Analisis Pasar, Pengetahuan Produk, Pengetahuan Layanan"
Executive Assistant,"Administrasi Umum, Manajemen Waktu, Komunikasi yang Efektif, Penanganan Informasi Rahasia, Keterampilan Organisasi, Pemahaman Bisnis"
Marketing Coordinator,"Rencana Pemasaran, Penelitian Pasar, Kreativitas, Keterampilan Komunikasi, Manajemen Proyek, Analisis Kinerja Kampanye"
Operations Manager,"Manajemen Operasional, Pengembangan Proses, Pengelolaan Inventaris, Keterampilan Kepemimpinan, Analisis Kinerja Operasional, Perencanaan Strategis, Pengelolaan Tim, Keterampilan Komunikasi, Analisis Kinerja Operasional"
Retail Store Manager,"Manajemen Toko, Penjualan, Layanan Pelanggan, Pengelolaan Stok, Keterampilan Kepemimpinan, Pemahaman Pasar, Pemahaman Produk, Analisis Kinerja Toko, Manajemen Pengembangan Bisnis, Pemasaran"
Project Coordinator,"Manajemen Proyek, Perencanaan dan Koordinasi, Keterampilan Komunikasi, Pengorganisasian, Pemecahan Masalah, Pemahaman Teknik Proyek"
Financial Analyst,"Analisis Keuangan, Excel, Pemodelan Keuangan, Penelitian Pasar, Presentasi Keuangan, Analisis Portofolio"
Interior Designer/ Interior Decorator,"Kreativitas, Keterampilan Komunikasi, Pengetahuan Material, Pengetahuan Furnitur, Pengelolaan Proyek, Pengetahuan Teknik Bangunan, Desain Interior, Kreativitas, Pengetahuan Furnitur, Keterampilan Presentasi, Kolaborasi dengan Klien, Pemahaman Budget, Pemahaman Biaya"
Personal Trainer,"Kebugaran Fisik, Pengetahuan Anatomi, Pengetahuan Fisiologi, Keterampilan Komunikasi, Perencanaan Latihan, Motivasi, Pengetahuan Gizi"
Copywriter,"Menulis, Kreativitas, Penelitian, Pemahaman Target Audiens, SEO (Search Engine Optimization), Keterampilan Persuasif"
Fashion Designer,"Desain Busana, Kreativitas, Pengetahuan Material , Pengetahuan Tekstil, Menggambar Teknis, Pengelolaan Proyek, Riset Tren Fashion"
Asisten Hukum,"Penelitian Hukum, Administrasi Hukum, Keterampilan Komunikasi, Pengetahuan Hukum, Keterampilan Teknis, Kepatuhan Regulasi"
Event Photographer,"Fotografi, Pemahaman Teknis Kamera, Kreativitas, Komunikasi dengan Klien, Pengeditan Foto, Manajemen Waktu"
Culinary Chef,"Masakan, Kreativitas Kuliner, Keterampilan Organisasi Dapur, Kepatuhan Kebersihan Makanan, Manajemen Staf, Inovasi Kuliner, Manajemen Waktu, Manajemen Dapur, Kemampuan Bisnis, Inovasi Kuliner"
Financial Planner,"Perencanaan Keuangan, Pajak, Investasi, Keterampilan Komunikasi Keuangan, Analisis Portofolio, Perencanaan Pensiun"
Social Worker,"Keterampilan Komunikasi, Empati, Penanganan Krisis, Keterampilan Konseling, Pengetahuan Layanan Sosial, Manajemen Kasus"
Graphic Illustrator,"Ilustrasi, Kreativitas, Penggunaan Perangkat Lunak Desain Grafis, Pengetahuan Komposisi Visual, Kerjasama Tim"
Occupational Therapist,"Terapi Okupasional, Keterampilan Komunikasi, Pemahaman Anatomi, Pemahaman Fisiologi, Kreativitas Rencana Terapi, Pengamatan Pasien, Kolaborasi Tim Medis"
Ilmuwan lingkungan,"Ilmu Lingkungan, Penelitian, Analisis Data, Pengelolaan Proyek, Keterampilan Komunikasi Ilmiah, Interpretasi Kebijakan Lingkungan"
Travel Agent,"Pengetahuan Destinasi Wisata, Keterampilan Komunikasi, Penawaran, Negosiasi, Pemahaman Tiket, Pemahaman Akomodasi, Penggunaan Sistem Pemesanan, Perencanaan Rute Perjalanan."
Physical Therapist,"Terapi Fisik, Pemahaman Anatomi, Pemahaman Fisiologi, Keterampilan Komunikasi Pasien, Evaluasi Fisik, Pemecahan Masalah, Manajemen Kasus"
Fashion Stylist,"Mode dan Tren, Kreativitas, Keterampilan Komunikasi, Pengetahuan Tekstil, Kolaborasi dengan Klien, Manajemen Gaya"
Legal Secretary/ Legal Assistant/ Legal Counse,"Administrasi Hukum, Penelitian Hukum, Keterampilan Komunikasi, Pengelolaan Dokumen Hukum, Pemahaman Proses Hukum, Kepatuhan Regulasi"
Marketing Analyst,"Analisis Pemasaran, Pengolahan Data, Riset Pasar, Presentasi Data, Keterampilan Komunikasi, Penggunaan Alat Analisis"
Dental Hygienist,"Kebersihan Gigi, Keterampilan Komunikasi Pasien, Evaluasi Gigi, Pekerjaan Klinis, Manajemen Jangka Panjang Perawatan, Keterampilan Edukasi Pasien"
Fashion Merchandiser,"Merchandising, Pemahaman Tren Mode, Analisis Pasar, Keterampilan Presentasi Produk, Pengelolaan Stok, Rencana Penjualan"
Occupational Health and Safety Specialist,"Kesehatan Kerja, Keselamatan Kerja, Inspeksi Keselamatan, Penyuluhan Keselamatan, Manajemen Risiko, Investigasi Kecelakaan, Kepatuhan Peraturan Keselamatan"
Fitness Instructor,"Pendidikan Jasmani, Keterampilan Komunikasi, Pengetahuan Anatomi, Pengetahuan Fisiologi, Perencanaan Program Latihan, Motivasi, Pemahaman Nutrisi"
Operations Analyst,"Analisis Operasional, Pemodelan Bisnis, Manajemen Proses, Pengembangan Solusi Efisiensi, Evaluasi Kinerja Operasional, Keterampilan Presentasi"
Travel Nurse,"Asuhan Pasien, Keterampilan Komunikasi, Adaptasi, Pengetahuan Medis yang Luas, Kolaborasi Tim, Kepatuhan Protokol Kesehatan"
Procurement Specialist,"Pengadaan, Negosiasi Kontrak, Analisis Vendor, Manajemen Persediaan, Pengembangan RFI/RFP, Evaluasi Kinerja Pemasok"
Sales Operations Manager,"Operasi Penjualan, Manajemen Tim Penjualan, Analisis Penjualan, Pengembangan Strategi Penjualan, Keterampilan Kepemimpinan, Evaluasi Kinerja Penjualan"
Executive Chef,"Manajemen Dapur, Kreativitas Kuliner, Pengawasan Produksi Makanan, Pengembangan Menu, Manajemen Staf, Kualitas Makanan, Kontrol Biaya, Manajemen Waktu, Inovasi Kuliner"
Research Scientist,"Penelitian Ilmiah, Metode Penelitian, Analisis Data, Presentasi Ilmiah, Pengembangan Hipotesis, Publikasi Ilmiah"
Operations Coordinator,"Koordinasi Operasional, Administrasi, Keterampilan Komunikasi, Pengorganisasian, Manajemen Waktu, Penyelesaian Masalah"
Veterinary Technician,"Pemahaman Medis Hewan, Keterampilan Komunikasi dengan Pemilik Hewan, Pemeriksaan Fisik Hewan, Penanganan Hewan yang Sakit, Teknik Pemeliharaan Catatan Medis, Keterampilan Laboratorium"
Financial Analyst,"Analisis Keuangan, Excel, Model Keuangan, Pengambilan Keputusan, Keterampilan Presentasi, Penelitian Pasar"
Executive Assistant,"Administrasi Umum, Manajemen Waktu, Keterampilan Komunikasi, Penanganan Informasi Rahasia, Keterampilan Organisasi, Pemahaman Bisnis"
Social Worker,"Keterampilan Komunikasi, Empati, Penanganan Krisis, Keterampilan Konseling, Pengetahuan Layanan Sosial, Manajemen Kasus"
Electrician,"Kelistrikan, Pemahaman Blueprints, Keterampilan Troubleshooting, Keterampilan Komunikasi, Keselamatan Kerja, Pemeliharaan Sistem Elektrikal"
Dental Assistant,"Asisten Dokter Gigi, Sterilisasi Alat, Pemahaman Prosedur Kedokteran Gigi, Keterampilan Komunikasi Pasien, Administrasi Kantor, Pengelolaan Persediaan"
Insurance Agent,"Penjualan Asuransi, Keterampilan Komunikasi, Pengetahuan Produk Asuransi, Manajemen Hubungan Pelanggan, Analisis Kebutuhan Asuransi, Pemasaran, Strategi Penjualan"
Registered Nurse,"Asuhan Pasien, Observasi Klinis, Pemahaman Kebutuhan Medis, Komunikasi Pasien, Penyuluhan Kesehatan, Keterampilan Kolaborasi Tim Medis"
Pharmaceutical Sales Representative,"Penjualan Farmasi, Pengetahuan Produk, Keterampilan Komunikasi, Penelitian Pasar, Analisis Persaingan, Manajemen Hubungan Pelanggan"
Supply Chain Analyst,"Analisis Rantai Pasokan, Pengolahan Data, Pemodelan Matematis, Perencanaan Produksi, Pengembangan Strategi Rantai Pasokan, Manajemen Inventaris"
Financial Advisor,"Perencanaan Keuangan, Investasi, Pajak, Manajemen Portofolio, Keterampilan Presentasi Keuangan, Pemahaman Pasar Keuangan"
Social Media Manager,"Manajemen Media Sosial, Kreativitas, Analisis Data, Keterampilan Komunikasi, Rencana Konten, Pengembangan Branding"
Civil Engineer,"Teknik Sipil, Pemodelan Struktural, Pengelolaan Proyek, Pemahaman Kode Bangunan, Desain Drainase, Analisis Tanah"
Dental Hygienist,"Kebersihan Gigi, Keterampilan Komunikasi Pasien, Evaluasi Gigi, Pekerjaan Klinis, Manajemen Jangka Panjang Perawatan, Keterampilan Edukasi Pasien"
Laboratory Technician,"Pemahaman Laboratorium, Pemrosesan Sampel, Keterampilan Teknis, Penggunaan Alat Laboratorium, Keselamatan, Kebersihan, Analisis Data"
Supply Chain Manager,"Manajemen Rantai Pasokan, Strategi Logistik, Pengelolaan Persediaan, Hubungan Pemasok, Analisis Kinerja Rantai Pasokan, Keterampilan Negosiasi"